,Apple Watch,MAX30102
0,96,96.23505
1,95,95.975064
2,95,95.706066
3,97,97.605714
4,98,98.928594
5,99,99.657
6,99,99.016626
7,98,96.022296
8,96,96.891474
9,95,94.445976
10,94,94.7638
11,94,94.398056
12,93,92.0498
13,94,94.129194
14,95,91.839
15,95,90.365064
16,94,91.659384
17,95,94.129194
18,93,92.771946
19,95,95.894706
20,97,99.758856
21,98,99.135144
22,96,98.747986
23,95,90.365064
24,95,92.270506
25,96,89.190936
26,96,92.395
27,97,98.288856
28,96,96.157416
29,99,99.831474
30,98,99.8058
31,97,95.34225
32,96,96.157416
33,97,98.752554
34,98,98.116266
35,99,99.712434
36,99,99.462504
37,99,99.275976
38,97,97.990506
39,97,99.81525
40,95,93.468594
41,94,92.410104
42,93,92.72965
43,93,89.72965
44,94,99.519096
45,93,93.41
46,95,93.123984
47,94,93.8629
48,95,94.27495
49,93,91.14984
50,94,89.123484
51,95,95.85783
52,97,99.519096
53,98,98.889096
54,98,99.462504
55,99,99.84405
56,98,99.24465
57,98,99.345144
58,97,93.124776
59,96,89.839
60,98,97.321784
61,99,98.928594
62,98,98.928594
63,99,99.436626
64,97,99.436626
65,98,97.567176
66,99,92.621674
67,99,96.586591
68,99,99.771114
69,98,99.462504
70,97,99.519096
71,99,98.288856
72,94,95.34225
73,96,96.157416
74,94,95.674706
75,95,96.33829313
76,95,96.0534
77,94,96.016626
78,93,96.6558
79,94,90.872616
80,95,98.794776
81,93,99.674706
82,92,99.824664
83,91,98.60608513
84,90,99.727416
85,94,99.674706
86,96,99.612984
87,96,99.657
88,94,99.41709436
89,96,99.855786
90,97,98.38176571
91,96,97.513563
92,98,97.3998
93,98,98.779128
94,95,89.190936
95,93,97.30619325
96,99,86.799794
97,95,80.22707695
98,95,99.016626
99,93,95.600505
100,95,85.072824
101,99,94.32139029
102,97,90.44325
103,95,90.291179
104,98,97.934664
105,96,95.45677
106,96,92.771946
107,95,93.0863136
108,93,80.435154
109,94,93.68073767
110,96,99.855786
111,96,97.21318461
112,94,99.550581
113,95,92.54361686
114,97,93.773742
115,94,81.600426
116,96,94.21370862
117,97,99.345144
118,99,96.90918821
119,94,96.486024
120,94,97.46343709
121,99,89.5514895
122,97,91.75825
123,94,93.986907
124,95,97.934664
125,95,94.51924333
126,93,98.288856
127,94,98.288856
128,96,97.934664
129,97,97.934664
130,94,99.612984
131,95,98.928594
132,96,99.270789
133,95,99.24465
134,97,96.891474
135,96,91.270506
136,94,84.207624
137,94,95.894706
138,94,96.431914
139,95,93.124776
140,96,95.2852224
141,99,75.413586
142,97,87.365064
143,98,85.395
144,98,86.398056
145,95,66.799794
146,95,99.612984
147,96,92.03925
148,97,73.3818
149,96,97.93220155
150,95,90.872616
151,91,96.891474
152,92,35.346666
153,90,98.452434
154,93,93.468594
155,90,76.72305
156,89,98.288856
157,88,94.129194
158,90,92.71511334
159,89,84.355896
160,89,57.7638
161,93,95.622984
162,93,70.546584
163,94,82.72965
164,94,81.600426
165,95,79.233834
166,95,37.485234
167,97,92.43147786
168,94,94.129194
169,95,98.889096
170,95,96.99353914
171,93,82.169544
172,96,99.758856
173,94,83.280744
174,93,75.413586
175,95,92.77687755
176,96,98.116266
177,94,97.118136
178,91,96.157416
179,90,86.398056
180,92,68.325546
181,92,93.468594
182,89,83.280744
183,90,95.34225
184,90,97.118136
185,90,93.2723699
186,91,98.928594
187,92,99.771114
188,93,93.8034
189,90,97.12960721
190,89,72.686514
191,90,45.679026
192,92,93.124776
193,94,96.411114
194,95,95.052504
195,89,94.129194
196,88,83.822826
197,87,58.630314
198,88,85.901034
199,90,93.15554215
200,95,93.15554215
201,94,94.83093365
202,93,91.67254277
203,94,92.61345283
204,95,97.9457546
205,96,94.40654329
206,96,99.65982429
207,96,93.83674841
208,95,92.70346926
209,96,94.38512565
210,94,91.80000521
211,95,90.92905692
212,93,94.68530582
213,94,95.22103707
214,94,90.53147904
215,94,93.56721746
216,95,94.97555268
217,95,96.85461772
218,94,95.97802287
219,94,94.92046544
220,93,92.91870422
221,93,92.20718466
222,94,95.98826275
223,94,95.06232965
224,93,91.2147295
225,94,97.37055088
226,95,96.10158197
227,94,97.07469421
228,94,92.36170416
229,94,94.55519581
230,95,96.84286072
231,95,90.95067098
232,94,96.22144324
233,94,96.07690573
234,95,97.7491527
235,96,98.65000926
236,96,98.32575653
237,96,97.3262241
238,95,93.37064194
239,95,96.71547577
240,94,95.50979732
241,94,94.83179504
242,95,97.87039358
243,95,95.37304138
244,96,94.17322498
245,95,95.41381793
246,94,95.53798908
247,95,97.94971488
248,96,97.01084482
249,95,93.61692743